iter	Passed	Remaining
640	13085	5981
641	13096	5956
642	13112	5934
643	13125	5910
644	13144	5889
645	13161	5867
646	13176	5845
647	13194	5823
648	13212	5802
649	13229	5780
650	13249	5759
651	13266	5737
652	13285	5717
653	13304	5696
654	13326	5676
655	13346	5655
656	13361	5633
657	13380	5612
658	13396	5590
659	13414	5569
660	13440	5550
661	13464	5532
662	13480	5510
663	13501	5489
664	13518	5468
665	13538	5447
666	13552	5425
667	13571	5404
668	13584	5381
669	13603	5360
670	13622	5339
671	13640	5318
672	13655	5295
673	13671	5273
674	13689	5252
675	13703	5230
676	13718	5207
677	13736	5186
678	13756	5166
679	13775	5145
680	13795	5125
681	13814	5104
682	13829	5082
683	13845	5060
684	13860	5038
685	13877	5017
686	13896	4996
687	13913	4974
688	13935	4955
689	13956	4935
690	13981	4916
691	14004	4897
692	14022	4876
693	14039	4855
694	14054	4833
695	14073	4812
696	14091	4791
697	14111	4771
698	14129	4750
699	14147	4729
700	14170	4709
701	14187	4688
702	14203	4667
703	14223	4647
704	14241	4625
705	14257	4604
706	14278	4584
707	14302	4565
708	14319	4544
709	14338	4523
710	14356	4502
711	14377	4482
712	14397	4462
713	14414	4441
714	14426	4418
715	14453	4400
716	14470	4379
717	14487	4358
718	14506	4337
719	14526	4317
720	14548	4298
721	14572	4278
722	14592	4258
723	14606	4236
724	14626	4216
725	14647	4196
726	14672	4177
727	14698	4159
728	14721	4139
729	14745	4120
730	14772	4102
731	14798	4083
732	14822	4064
733	14856	4048
734	14881	4029
735	14900	4008
736	14932	3991
737	14964	3974
738	14987	3954
739	15014	3936
740	15040	3917
741	15068	3899
742	15092	3879
743	15112	3859
744	15130	3838
745	15151	3818
746	15173	3798
747	15196	3778
748	15220	3759
749	15247	3740
750	15264	3719
751	15285	3699
752	15305	3679
753	15323	3658
754	15346	3638
755	15360	3616
756	15380	3596
757	15403	3576
758	15422	3555
759	15439	3534
760	15456	3513
761	15478	3493
762	15500	3473
763	15519	3453
764	15535	3432
765	15553	3411
766	15570	3390
767	15586	3368
768	15609	3349
769	15630	3329
770	15650	3308
771	15672	3288
772	15694	3268
773	15716	3248
774	15731	3227
775	15751	3207
776	15773	3187
777	15785	3165
778	15803	3144
779	15817	3122
780	15836	3102
781	15850	3080
782	15865	3059
783	15880	3038
784	15896	3017
785	15911	2996
786	15929	2975
787	15947	2954
788	15968	2934
789	15986	2913
790	16008	2894
791	16023	2872
792	16042	2852
793	16061	2831
794	16078	2811
795	16094	2790
796	16117	2770
797	16139	2750
798	16161	2730
799	16178	2709
800	16196	2689
801	16214	2668
802	16239	2649
803	16258	2628
804	16276	2608
805	16296	2587
806	16315	2567
807	16335	2547
808	16353	2526
809	16374	2506
810	16394	2486
811	16412	2465
812	16434	2445
813	16449	2424
814	16463	2403
815	16479	2383
816	16491	2361
817	16507	2340
818	16526	2320
819	16547	2300
820	16564	2279
821	16580	2259
822	16597	2238
823	16616	2218
824	16634	2197
825	16655	2177
826	16676	2157
827	16698	2137
828	16720	2117
829	16737	2097
830	16761	2077
831	16780	2057
832	16800	2037
833	16821	2016
834	16843	1996
835	16863	1976
836	16881	1956
837	16899	1936
838	16914	1915
839	16933	1894
840	16953	1874
841	16973	1854
842	16993	1834
843	17011	1814
844	17029	1793
845	17052	1773
846	17069	1753
847	17084	1732
848	17100	1712
849	17123	1692
850	17140	1671
851	17157	1651
852	17179	1631
853	17199	1611
854	17219	1591
855	17240	1570
856	17266	1551
857	17286	1531
858	17306	1511
859	17330	1491
860	17352	1471
861	17373	1451
862	17391	1430
863	17416	1411
864	17435	1390
865	17454	1370
866	17473	1350
867	17495	1330
868	17516	1310
869	17531	1289
870	17548	1269
871	17564	1248
872	17582	1228
873	17600	1208
874	17619	1188
875	17637	1167
876	17657	1147
877	17669	1127
878	17686	1106
879	17702	1086
880	17718	1065
881	17739	1045
882	17764	1026
883	17788	1006
884	17813	986
885	17832	966
886	17852	945
887	17872	925
888	17890	905
889	17907	885
890	17921	864
891	17940	844
892	17956	824
893	17970	804
894	17988	783
895	18019	764
896	18054	744
897	18087	725
898	18108	704
899	18135	685
900	18154	664
901	18174	644
902	18197	624
903	18217	604
904	18236	584
905	18256	564
906	18278	544
907	18291	523
908	18314	503
909	18334	483
910	18360	463
911	18380	443
912	18399	423
913	18418	403
914	18438	382
915	18457	362
916	18472	342
917	18483	322
918	18501	301
919	18521	281
920	18541	261
921	18559	241
922	18576	221
923	18604	201
924	18632	181
925	18648	161
926	18665	140
927	18681	120
928	18698	100
929	18730	80
930	18758	60
931	18789	40
932	18814	20
933	18838	0
